TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.4347826087,0.4347826087,0.4347826087,0.438204374,0.4527650776,0.4565217391,0.3037181409,0.0938230885,0,0,0,0,0,0.2685814027,0.3131186568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.4347826087,0.4347826087,0.4347826087,0.438204374,0.4527650776,0.4565217391,0.3037181409,0.0938230885,0,0,0,0,0,0.2685814027,0.3131186568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.4347826087,0.4347826087,0.4347826087,0.438204374,0.4527650776,0.4565217391,0.3037181409,0.0938230885,0,0,0,0,0,0.2685814027,0.3131186568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX GENERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
