TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
TokenDispenser,MONOTONICGA,1,0.5862068966,0.5862068966,0.5862068966,0.5862068966,0.7586206897,0.7586206897,0.9074852817,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9862068966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.0344827586,0.0344827586,0.0344827586,0.7321026987,0.7338182199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.6551724138,0.7586206897,0.7586206897,0.9655172414,0.9655172414,0.9655172414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.6551724138,0.7586206897,0.8777546111,0.9874716621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6896551724,0.6896551724,0.6896551724,0.7586206897,0.7586206897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.6551724138,0.724137931,0.824984993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.7586206897,0.8900781951,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.5517241379,0.5517241379,0.5517241379,0.7586206897,0.8458023638,0.9655172414,0.9655172414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.6551724138,0.8275862069,0.8674158742,0.9655172414,0.9655172414,0.9829909843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.3793103448,0.3793103448,0.3793103448,0.7163680729,0.7661222021,0.9867374005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
