TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
TokenDispenser,MONOTONICGA,1,0.6206896552,0.6206896552,0.7637253881,0.8620689655,0.8965517241,0.8965517241,0.9310344828,0.9898210843,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.5517241379,0.5517241379,0.8965517241,0.9152298851,0.9310344828,0.9408985411,0.9655172414,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.7931034483,0.7931034483,0.8275862069,0.8588582804,0.9067635108,0.9310344828,0.9494476063,0.9655172414,0.9655172414,0.9670263337,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.2068965517,0.2068965517,0.7730337079,0.8300807043,0.8965517241,0.9310344828,0.9310344828,0.9969328004,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.7931034483,0.8927366104,0.9382103641,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9970337412,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.6551724138,0.8965517241,0.9655172414,0.9655172414,0.9655172414,0.9655172414,0.9825525484,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.8956618465,0.8965517241,0.8965517241,0.9202065634,0.9310344828,0.9310344828,0.9310344828,0.9655172414,0.9867437539,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.724137931,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9437220321,0.978275133,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.4137931034,0.6647509579,0.9310344828,0.9640394089,0.9655172414,0.9655172414,0.9797208539,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,MONOTONICGA,1,0.6551724138,0.6551724138,0.7753396029,0.8965517241,0.8965517241,0.9077041405,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Average,,1,,,,,,,,,,,,,,,,,,,,
