TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,algorithm
TokenDispenser,BRANCH,0.9310344828,29,27,NOVELTY
TokenDispenser,BRANCH,0.8620689655,29,27,NOVELTY
TokenDispenser,BRANCH,0.9310344828,29,28,NOVELTY
TokenDispenser,BRANCH,1,29,29,NOVELTY
TokenDispenser,BRANCH,0.8620689655,29,24,NOVELTY
TokenDispenser,BRANCH,0.9310344828,29,27,NOVELTY
TokenDispenser,BRANCH,0.8620689655,29,25,NOVELTY
TokenDispenser,BRANCH,0.9310344828,29,26,NOVELTY
TokenDispenser,BRANCH,1,29,29,NOVELTY
SubjectParser,BRANCH,0.6774193548,31,23,NOVELTY
SubjectParser,BRANCH,0.7419354839,31,24,NOVELTY
SubjectParser,BRANCH,0.8064516129,31,25,NOVELTY
SubjectParser,BRANCH,0.7419354839,31,23,NOVELTY
SubjectParser,BRANCH,0.8064516129,31,25,NOVELTY
SubjectParser,BRANCH,0.6774193548,31,23,NOVELTY
SubjectParser,BRANCH,0.8709677419,31,26,NOVELTY
SubjectParser,BRANCH,0.7419354839,31,24,NOVELTY
SubjectParser,BRANCH,0.6774193548,31,23,NOVELTY
SubjectParser,BRANCH,0.8709677419,31,26,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
StringReader,BRANCH,1,27,27,NOVELTY
ScanWord,BRANCH,0.85,20,17,NOVELTY
ScanWord,BRANCH,0.85,20,17,NOVELTY
ScanWord,BRANCH,0.95,20,19,NOVELTY
ScanWord,BRANCH,0.8,20,16,NOVELTY
ScanWord,BRANCH,0.8,20,16,NOVELTY
ScanWord,BRANCH,0.95,20,19,NOVELTY
ScanWord,BRANCH,0.8,20,16,NOVELTY
ScanWord,BRANCH,0.95,20,19,NOVELTY
ScanWord,BRANCH,0.85,20,17,NOVELTY
ScanWord,BRANCH,0.9,20,18,NOVELTY
Properties,BRANCH,0.3245614035,342,119,NOVELTY
Properties,BRANCH,0.3304093567,342,121,NOVELTY
Properties,BRANCH,0.350877193,342,124,NOVELTY
Properties,BRANCH,0.6754385965,342,231,NOVELTY
Properties,BRANCH,0.3187134503,342,118,NOVELTY
Properties,BRANCH,0.6052631579,342,207,NOVELTY
Properties,BRANCH,0.3187134503,342,118,NOVELTY
Properties,BRANCH,0.5,342,171,NOVELTY
Properties,BRANCH,0.4444444444,342,152,NOVELTY
Properties,BRANCH,0.3187134503,342,118,NOVELTY
MyTokenizer,BRANCH,1,29,29,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
MyTokenizer,BRANCH,1,29,29,NOVELTY
MyTokenizer,BRANCH,1,29,29,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
MyTokenizer,BRANCH,0.9655172414,29,28,NOVELTY
MyTokenizer,BRANCH,0.9310344828,29,27,NOVELTY
Inflection,BRANCH,0.7777777778,27,21,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
Inflection,BRANCH,0.8148148148,27,22,NOVELTY
ImprovedTokenizer,BRANCH,0.6790123457,81,68,NOVELTY
ImprovedTokenizer,BRANCH,0.8641975309,81,70,NOVELTY
ImprovedTokenizer,BRANCH,0.8641975309,81,70,NOVELTY
ImprovedTokenizer,BRANCH,0.987654321,81,80,NOVELTY
ImprovedTokenizer,BRANCH,0.8765432099,81,71,NOVELTY
ImprovedTokenizer,BRANCH,0.8641975309,81,70,NOVELTY
ImprovedTokenizer,BRANCH,0.950617284,81,77,NOVELTY
ImprovedTokenizer,BRANCH,0.9012345679,81,73,NOVELTY
ImprovedTokenizer,BRANCH,0.9135802469,81,74,NOVELTY
ImprovedTokenizer,BRANCH,0.9135802469,81,74,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8775510204,49,43,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8571428571,49,42,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8775510204,49,43,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8367346939,49,41,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8571428571,49,42,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8571428571,49,42,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8979591837,49,44,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8163265306,49,40,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8979591837,49,44,NOVELTY
ImprovedStreamTokenizer,BRANCH,0.8979591837,49,44,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
HSLColor,BRANCH,0.9014084507,71,64,NOVELTY
