TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
TokenDispenser,NOVELTY,1,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,1,1,1,1,1,1,1
TokenDispenser,NOVELTY,0.9310344828,0.6206896552,0.6206896552,0.6407645177,0.6930428055,0.7453210932,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828
TokenDispenser,NOVELTY,0.8620689655,0.724137931,0.724137931,0.7264059809,0.7474064429,0.768406905,0.789407367,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655
TokenDispenser,NOVELTY,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.8620689655
TokenDispenser,NOVELTY,0.9310344828,0.7586206897,0.7586206897,0.7611721636,0.7776332857,0.7940944078,0.8105555299,0.8270166521,0.8434777742,0.8599388963,0.8764000184,0.8928611406,0.9093222627,0.9257833848,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828
TokenDispenser,NOVELTY,0.9310344828,0.6551724138,0.6551724138,0.6700112919,0.6971390399,0.7242667878,0.7513945358,0.7785222837,0.8056500317,0.8327777797,0.8599055276,0.8870332756,0.9141610235,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828
TokenDispenser,NOVELTY,0.9310344828,0.6206896552,0.6206896552,0.6559813935,0.7065426231,0.7571038528,0.7957267157,0.8048352829,0.8139438502,0.8230524175,0.8321609848,0.8412695521,0.8503781194,0.8594866867,0.868595254,0.8777038213,0.8868123886,0.8959209559,0.9050295231,0.9141380904,0.9232466577
TokenDispenser,NOVELTY,1,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7771271001,0.7486994343,0.7202717685,0.6918441027,0.6634164369,0.6349887711,0.6065611053,1,1,1,1,1,1,1,1
TokenDispenser,NOVELTY,1,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7931034483,0.7771271001,0.7486994343,0.7202717685,0.6918441027,0.6634164369,0.6349887711,0.6065611053,1,1,1,1,1,1,1,1
TokenDispenser,NOVELTY,0.9310344828,0.7586206897,0.7586206897,0.7611721636,0.7776332857,0.7940944078,0.8105555299,0.8270166521,0.8434777742,0.8599388963,0.8764000184,0.8928611406,0.9093222627,0.9257833848,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828,0.9310344828
Average,,0.9379310345,,,,,,,,,,,,,,,,,,,,
SubjectParser,NOVELTY,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129
SubjectParser,NOVELTY,0.7741935484,0.4838709677,0.4838709677,0.4838709677,0.493373152,0.5180541501,0.5427351482,0.5674161463,0.5920971444,0.6167781425,0.6414591406,0.6661401387,0.6908211368,0.7155021349,0.740183133,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
