TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
TokenDispenser,NOVELTY,0.9655172414,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6585636874,0.6675830321,0.6766023768,0.6856217215,0.6946410662,0.7036604108,0.7126797555,0.7216991002,0.7307184449,0.7397377896,0.7487571343,0.757776479,0.7667958237,0.7758151684,0.7848345131,0.7938538578,0.8028732024,0.8118925471,0.8209118918,0.8299312365,0.8389505812,0.8479699259,0.8569892706,0.8660086153,0.87502796
TokenDispenser,NOVELTY,0.9655172414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TokenDispenser,NOVELTY,1,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6568579325,0.6655461732,0.6742344139,0.6829226547,0.6916108954,0.7002991361,0.7089873769,0.7176756176,0.7263638583,0.735052099,0.7437403398,0.7524285805,0.7611168212,0.7698050619,0.7784933027,0.7871815434,0.7958697841,0.8045580249,0.8132462656,0.8219345063,0.830622747,0.8393109878,0.8479992285,0.8566874692,0.8653757099
TokenDispenser,NOVELTY,1,0.724137931,0.724137931,0.724137931,0.724137931,0.724137931,0.7287841002,0.735547083,0.7423100659,0.7490730487,0.7558360315,0.7625990143,0.7693619971,0.7761249799,0.7828879627,0.7896509455,0.7964139284,0.8031769112,0.809939894,0.8167028768,0.8234658596,0.8302288424,0.8369918252,0.8437548081,0.8505177909,0.8572807737,0.8640437565,0.8708067393,0.8775697221,0.8843327049,0.8910956878
TokenDispenser,NOVELTY,0.9655172414,0.5862068966,0.5862068966,0.5862068966,0.5862068966,0.5862068966,0.5931592844,0.6036613809,0.6141634774,0.6246655739,0.6351676703,0.6456697668,0.6561718633,0.6666739598,0.6771760563,0.6876781528,0.6981802492,0.7086823457,0.7191844422,0.7296865387,0.7401886352,0.7506907316,0.7611928281,0.7716949246,0.7821970211,0.7926991176,0.803201214,0.8137033105,0.824205407,0.8347075035,0.8452096
TokenDispenser,NOVELTY,0.9310344828,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6580426135,0.6652181128,0.672393612,0.6795691113,0.6867446105,0.6939201098,0.701095609,0.7082711083,0.7154466076,0.7226221068,0.7297976061,0.7369731053,0.7441486046,0.7513241038,0.7584996031,0.7656751024,0.7728506016,0.7800261009,0.7872016001,0.7943770994,0.8015525987,0.8087280979,0.8159035972,0.8230790964,0.8302545957,0.8374300949
TokenDispenser,NOVELTY,0.9655172414,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6551724138,0.6601743085,0.6670639705,0.6739536326,0.6808432946,0.6877329567,0.6946226188,0.7015122808,0.7084019429,0.7152916049,0.722181267,0.7290709291,0.7359605911,0.7428502532,0.7497399153,0.7566295773,0.7635192394,0.7704089014,0.7772985635,0.7841882256,0.7910778876,0.7979675497,0.8048572118,0.8117468738,0.8186365359,0.8255261979
TokenDispenser,NOVELTY,0.9655172414,0.2068965517,0.2068965517,0.2068965517,0.2068965517,0.2068965517,0.2130246831,0.2305837988,0.2481429145,0.2657020302,0.2832611459,0.3008202615,0.3183793772,0.3359384929,0.3534976086,0.3710567243,0.38861584,0.4061749557,0.4237340714,0.4412931871,0.4588523028,0.4764114184,0.4939705341,0.5115296498,0.5290887655,0.5466478812,0.5642069969,0.5817661126,0.5993252283,0.616884344,0.6344434596
TokenDispenser,NOVELTY,0.9655172414,0.6206896552,0.6206896552,0.6206896552,0.6206896552,0.6206896552,0.6206896552,0.6289841352,0.6386626416,0.648341148,0.6580196544,0.6676981608,0.6773766672,0.6870551736,0.6967336801,0.7064121865,0.7160906929,0.7257691993,0.7354477057,0.7451262121,0.7548047185,0.7644832249,0.7741617314,0.7838402378,0.7935187442,0.8031972506,0.812875757,0.8225542634,0.8322327698,0.8419112763,0.8515897827
TokenDispenser,NOVELTY,0.9655172414,0.6896551724,0.6896551724,0.6896551724,0.6896551724,0.68990231,0.6960807505,0.7022591909,0.7084376313,0.7146160717,0.7207945121,0.7269729526,0.733151393,0.7393298334,0.7455082738,0.7516867142,0.7578651547,0.7640435951,0.7702220355,0.7764004759,0.7825789163,0.7887573568,0.7949357972,0.8011142376,0.807292678,0.8134711184,0.8196495589,0.8258279993,0.8320064397,0.8381848801,0.8443633205
SubjectParser,NOVELTY,0.8387096774,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419
SubjectParser,NOVELTY,0.8387096774,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4542299949,0.4666332732,0.4790365515,0.4914398298,0.5038431081,0.5162463864,0.5286496646,0.5410529429,0.5534562212,0.5658594995,0.5782627778,0.590666056,0.6030693343,0.6154726126,0.6278758909,0.6402791692,0.6526824475,0.6650857257,0.677489004,0.6898922823,0.7022955606,0.7146988389,0.7271021171
