TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
HSLColor,BRANCH,0.9014084507042254,71,65
HSLColor,BRANCH,0.8732394366197183,71,64
HSLColor,BRANCH,0.9154929577464789,71,65
HSLColor,BRANCH,0.9154929577464789,71,65
HSLColor,BRANCH,0.8732394366197183,71,64
TokenDispenser,BRANCH,0.9310344827586207,29,26
TokenDispenser,BRANCH,1.0,29,29
TokenDispenser,BRANCH,1.0,29,29
TokenDispenser,BRANCH,0.7931034482758621,29,24
TokenDispenser,BRANCH,0.8620689655172413,29,26
TokenDispenser,BRANCH,0.8620689655172413,29,26
TokenDispenser,BRANCH,0.9310344827586207,29,26
TokenDispenser,BRANCH,0.8620689655172413,29,24
TokenDispenser,BRANCH,0.7931034482758621,29,24
TokenDispenser,BRANCH,1.0,29,29
TokenDispenser,BRANCH,1.0,29,29
TokenDispenser,BRANCH,1.0,29,29
TokenDispenser,BRANCH,0.9310344827586207,29,27
TokenDispenser,BRANCH,0.8620689655172413,29,25
TokenDispenser,BRANCH,0.9310344827586207,29,27
TokenDispenser,BRANCH,1.0,29,29
